[2026-04-05T23:09:06.008+08:00] model usage detail: {"prompt_tokens":1723,"completion_tokens":88,"total_tokens":1811,"completion_tokens_details":{"text_tokens":88},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":721}}
[2026-04-05T23:09:06.857+08:00] model usage detail: {"prompt_tokens":7173,"completion_tokens":122,"total_tokens":7295,"completion_tokens_details":{"text_tokens":122},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6171}}
[2026-04-05T23:09:11.410+08:00] model usage detail: {"prompt_tokens":6756,"completion_tokens":155,"total_tokens":6911,"completion_tokens_details":{"text_tokens":155},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5754}}
[2026-04-05T23:09:11.668+08:00] model usage detail: {"prompt_tokens":1720,"completion_tokens":99,"total_tokens":1819,"completion_tokens_details":{"text_tokens":99},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":718}}
[2026-04-05T23:09:15.594+08:00] model usage detail: {"prompt_tokens":6997,"completion_tokens":101,"total_tokens":7098,"completion_tokens_details":{"text_tokens":101},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5995}}
[2026-04-05T23:09:23.103+08:00] model usage detail: {"prompt_tokens":7403,"completion_tokens":146,"total_tokens":7549,"completion_tokens_details":{"text_tokens":146},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6401}}
[2026-04-05T23:09:25.769+08:00] model usage detail: {"prompt_tokens":7199,"completion_tokens":85,"total_tokens":7284,"completion_tokens_details":{"text_tokens":85},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6197}}
[2026-04-05T23:09:33.150+08:00] model usage detail: {"prompt_tokens":6755,"completion_tokens":175,"total_tokens":6930,"completion_tokens_details":{"text_tokens":175},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5753}}
[2026-04-05T23:09:36.099+08:00] model usage detail: {"prompt_tokens":7668,"completion_tokens":135,"total_tokens":7803,"completion_tokens_details":{"text_tokens":135},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6666}}
[2026-04-05T23:09:37.598+08:00] model usage detail: {"prompt_tokens":7016,"completion_tokens":98,"total_tokens":7114,"completion_tokens_details":{"text_tokens":98},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6014}}
[2026-04-05T23:09:45.957+08:00] model usage detail: {"prompt_tokens":7214,"completion_tokens":79,"total_tokens":7293,"completion_tokens_details":{"text_tokens":79},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6212}}
[2026-04-05T23:11:45.356+08:00] model usage detail: {"prompt_tokens":1696,"completion_tokens":65,"total_tokens":1761,"completion_tokens_details":{"text_tokens":65},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":694}}
[2026-04-05T23:11:45.422+08:00] model usage detail: {"prompt_tokens":6752,"completion_tokens":113,"total_tokens":6865,"completion_tokens_details":{"text_tokens":113},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5750}}
[2026-04-05T23:11:45.501+08:00] model usage detail: {"prompt_tokens":6752,"completion_tokens":113,"total_tokens":6865,"completion_tokens_details":{"text_tokens":113},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5750}}
[2026-04-05T23:11:51.249+08:00] model usage detail: {"prompt_tokens":1696,"completion_tokens":52,"total_tokens":1748,"completion_tokens_details":{"text_tokens":52},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":694}}
[2026-04-05T23:11:56.126+08:00] model usage detail: {"prompt_tokens":6953,"completion_tokens":109,"total_tokens":7062,"completion_tokens_details":{"text_tokens":109},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5951}}
[2026-04-05T23:12:09.853+08:00] model usage detail: {"prompt_tokens":7163,"completion_tokens":114,"total_tokens":7277,"completion_tokens_details":{"text_tokens":114},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6161}}
[2026-04-05T23:12:10.114+08:00] model usage detail: {"prompt_tokens":6752,"completion_tokens":143,"total_tokens":6895,"completion_tokens_details":{"text_tokens":143},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5750}}
[2026-04-05T23:12:13.756+08:00] model usage detail: {"prompt_tokens":6953,"completion_tokens":117,"total_tokens":7070,"completion_tokens_details":{"text_tokens":117},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5951}}
